Accession ID,subtype,genotype
KJ723486,A,SAA1
KJ723486,A,SAA1
KJ723486,A,GA3
KJ723486,A,GA7
KJ723486,A,GA6
KJ723486,A,GA6
KJ723488,A,SAA1
KJ723488,A,GA6
KJ723488,A,SAA1
KJ723488,A,GA2
KJ723488,A,GA2
KJ723488,A,GA5
KJ723472,A,GA3
KJ723472,A,GA3
KJ723472,A,GA2
KJ723472,A,GA7
KJ723472,A,GA2
KJ723472,A,GA7
KJ723478,A,GA1
KJ723479,B,URU2
KJ723479,B,URU2
KJ723479,B,GB2
KJ723483,A,GA6
KJ723483,A,GA6
KJ723483,A,GA3
KJ723483,A,SAA1
KJ723483,A,GA7
KJ723483,A,SAA1
KJ723485,B,URU2
KJ723485,B,GB2
KJ723485,B,SAB1
KJ723485,B,SAB1
KJ723481,B,GB1
KJ723481,B,GB1
KJ723481,B,URU2
KJ723481,B,GB2
KJ723481,B,BAVI
KJ723481,B,BAIII
KJ723461,A,GA1
KJ723467,A,GA1
KJ723475,A,GA1
KJ723463,B,GB1
KJ723463,B,GB1
KJ723463,B,URU2
KJ723463,B,GB2
KJ723463,B,BAI
KJ723463,B,BAI
KJ723469,B,GB1
KJ723469,B,GB1
KJ723469,B,URU2
KJ723469,B,GB2
KJ723469,B,SAB3
KJ723469,B,BAI
KJ723476,B,GB1
KJ723476,B,GB1
KJ723476,B,URU2
KJ723476,B,GB2
KJ723476,B,BAI
KJ723476,B,BAI
KJ723468,A,SAA1
KJ723468,A,SAA1
KJ723468,A,GA3
KJ723468,A,GA2
KJ723468,A,GA6
KJ723468,A,GA2
KJ723491,A,GA1
KJ723464,A,GA2
KJ723464,A,GA3
KJ723464,A,GA7
KJ723464,A,GA3
KJ723464,A,GA2
KJ723464,A,GA7
KJ723474,A,GA1
KJ723482,B,GB1
KJ723482,B,GB1
KJ723482,B,GB2
KJ723473,A,GA5
KJ723473,A,GA5
KJ723489,A,GA1
KJ723492,A,GA3
KJ723492,A,GA2
KJ723492,A,GA2
KJ723492,A,GA3
KJ723492,A,GA7
KJ723492,A,GA7
KJ723460,B,GB1
KJ723460,B,GB1
KJ723470,B,GB1
KJ723470,B,GB1
KJ723477,B,GB1
KJ723477,B,GB1
KJ723480,B,GB1
KJ723480,B,GB1
KJ723462,A,GA5
KJ723462,A,GA5
KJ723465,A,GA5
KJ723465,A,GA5
KJ723490,A,GA5
KJ723490,A,GA5
KJ723466,B,GB2
KJ723466,B,URU2
KJ723484,B,GB4
KJ723484,B,GB4
KJ723487,A,GA5
KJ723487,A,GA5
KJ723487,A,GA6
