Accession ID,subtype,genotype
KF300952,B,BAIX
KF300952,B,BAVII
KF300952,B,BAIX
KF300952,B,BAIX
KF300952,B,BAIV
KF300952,B,BAIII
KF300970,B,BAVII
KF300970,B,BAIX
KF300970,B,BAIX
KF300970,B,BAIX
KF300970,B,BAIV
KF300970,B,BAVI
KF300953,B,BAVII
KF300953,B,BAIX
KF300953,B,BAIX
KF300953,B,BAIX
KF300953,B,BAIV
KF300953,B,BAIII
KF300954,B,BAVII
KF300954,B,BAIX
KF300954,B,BAIX
KF300954,B,BAIX
KF300954,B,BAIV
KF300954,B,BAIII
KF300955,B,BAVII
KF300955,B,BAIX
KF300955,B,BAIX
KF300955,B,BAIX
KF300955,B,BAIV
KF300955,B,BAIII
KF300971,A,NA1
KF300971,A,NA1
KF300971,A,NA1
KF300956,B,BAIX
KF300956,B,BAVII
KF300956,B,BAIX
KF300956,B,BAIX
KF300956,B,BAIV
KF300956,B,BAIII
KF300957,B,BAVII
KF300957,B,BAIX
KF300957,B,BAIX
KF300957,B,BAIX
KF300957,B,BAIV
KF300957,B,BAIII
KF300958,B,BAIX
KF300958,B,BAVII
KF300958,B,BAIX
KF300958,B,BAIX
KF300958,B,BAIV
KF300958,B,BAIII
KF300959,B,BAIX
KF300959,B,BAVII
KF300959,B,BAIX
KF300959,B,BAIX
KF300959,B,BAIV
KF300959,B,BAIII
KF300960,B,BAIX
KF300960,B,BAVII
KF300960,B,BAIX
KF300960,B,BAIX
KF300960,B,BAIV
KF300960,B,BAIII
KF300972,A,NA1
KF300972,A,NA1
KF300972,A,NA1
KF300972,A,ON1
KF300972,A,ON1
KF300972,A,ON1
KF300961,B,BAVII
KF300961,B,BAX
KF300961,B,BAIX
KF300961,B,BAIX
KF300961,B,BAIX
KF300961,B,BAXII
KF300973,A,ON1
KF300973,A,ON1
KF300973,A,ON1
KF300974,A,ON1
KF300974,A,ON1
KF300974,A,ON1
KF300975,A,ON1
KF300975,A,ON1
KF300975,A,ON1
KF300975,A,ON1
KF300976,A,ON1
KF300976,A,ON1
KF300976,A,ON1
KF300977,A,NA1
KF300977,A,NA1
KF300977,A,ON1
KF300977,A,ON1
KF300977,A,ON1
KF300977,A,ON1
KF300978,A,NA1
KF300978,A,NA1
KF300978,A,ON1
KF300978,A,ON1
KF300978,A,ON1
KF300978,A,ON1
KF300979,A,NA1
KF300979,A,NA1
KF300979,A,ON1
KF300979,A,ON1
KF300979,A,ON1
KF300979,A,ON1
KF300980,A,NA1
KF300980,A,NA1
KF300980,A,NA1
KF300980,A,ON1
KF300980,A,ON1
KF300981,A,ON1
KF300981,A,ON1
KF300981,A,ON1
KF300981,A,ON1
KF300982,A,ON1
KF300982,A,ON1
KF300982,A,ON1
KF300982,A,ON1
KF300983,A,ON1
KF300983,A,ON1
KF300983,A,ON1
KF300984,A,ON1
KF300984,A,ON1
KF300984,A,ON1
KF300984,A,ON1
KF300984,A,ON1
KF300985,A,ON1
KF300985,A,ON1
KF300985,A,ON1
KF300985,A,ON1
KF300985,A,ON1
KF300962,B,BAX
KF300962,B,BAVII
KF300962,B,BAI
KF300962,B,BAI
KF300962,B,BAIV
KF300962,B,BAX
KF300963,B,BAIX
KF300963,B,BAIX
KF300963,B,BAVII
KF300963,B,BAIV
KF300963,B,BAIII
KF300963,B,BAIII
KF300986,A,ON1
KF300986,A,ON1
KF300986,A,ON1
KF300986,A,ON1
KF300987,A,ON1
KF300987,A,ON1
KF300987,A,ON1
KF300987,A,ON1
KF300987,A,ON1
KF300988,A,ON1
KF300988,A,ON1
KF300988,A,ON1
KF300989,A,ON1
KF300989,A,ON1
KF300989,A,ON1
KF300990,A,ON1
KF300990,A,ON1
KF300990,A,ON1
KF300991,A,ON1
KF300991,A,ON1
KF300991,A,ON1
KF300992,A,ON1
KF300992,A,ON1
KF300992,A,ON1
KF300964,B,BAIX
KF300964,B,BAIX
KF300964,B,BAVII
KF300964,B,BAIX
KF300964,B,BAIV
KF300964,B,BAIX
KF300965,B,BAIX
KF300965,B,BAVII
KF300965,B,BAIX
KF300965,B,BAIX
KF300965,B,BAIV
KF300965,B,BAIX
KF300993,A,ON1
KF300993,A,ON1
KF300993,A,ON1
KF300994,A,ON1
KF300994,A,ON1
KF300994,A,ON1
KF300995,A,ON1
KF300995,A,ON1
KF300995,A,ON1
KF300951,B,BAX
KF300951,B,BAVII
KF300951,B,BAI
KF300951,B,BAIII
KF300951,B,BAIV
KF300951,B,BAX
KF300966,B,BAX
KF300966,B,BAVII
KF300966,B,BAI
KF300966,B,BAIV
KF300966,B,BAIII
KF300966,B,BAX
KF300967,B,BAIX
KF300967,B,BAVII
KF300967,B,BAIX
KF300967,B,BAIV
KF300967,B,BAIII
KF300967,B,BAIII
KF300968,B,BAX
KF300968,B,BAVII
KF300968,B,BAI
KF300968,B,BAI
KF300968,B,BAIV
KF300968,B,BAX
KF300996,A,ON1
KF300996,A,ON1
KF300996,A,ON1
KF300997,A,ON1
KF300997,A,ON1
KF300997,A,ON1
KF300998,A,ON1
KF300998,A,ON1
KF300998,A,ON1
KF300998,A,ON1
KF300999,A,ON1
KF300999,A,ON1
KF300999,A,ON1
KF301000,A,ON1
KF301000,A,ON1
KF301000,A,ON1
KF301001,A,ON1
KF301001,A,ON1
KF301001,A,ON1
KF301001,A,ON1
KF301002,A,ON1
