Accession ID,subtype,genotype
KY249680,B,BAIX
KY249680,B,BAIX
KY249680,B,BAIX
KY249680,B,BAVII
KY249680,B,BAIV
KY249679,B,BAIX
KY249679,B,BAIX
KY249679,B,BAI
KY249679,B,BAVII
KY249679,B,BAI
KY249679,B,BAIV
KY249678,B,BAIX
KY249678,B,BAIX
KY249678,B,BAIX
KY249678,B,BAIX
KY249676,B,BAIX
KY249676,B,BAIX
KY249676,B,BAIX
KY249676,B,BAVII
KY249676,B,BAIV
KY249676,B,BAVII
KY249677,B,BAIX
KY249677,B,BAIX
KY249677,B,BAVII
KY249677,B,BAIX
KY249677,B,BAIV
KY249675,B,BAIX
KY249675,B,BAIX
KY249675,B,BAIX
KY249675,B,BAVII
KY249675,B,BAI
KY249675,B,BAVII
KY249674,B,BAX
KY249674,B,BAVII
KY249674,B,BAI
KY249674,B,BAIV
KY249674,B,BAIII
KY249674,B,BAX
KY249673,B,BAIX
KY249673,B,BAIX
KY249673,B,BAVII
KY249673,B,BAIX
KY249673,B,BAIX
KY249672,B,BAIX
KY249672,B,BAIX
KY249672,B,BAVII
KY249672,B,BAIII
KY249672,B,BAIV
KY249672,B,BAIII
KY249671,B,BAIX
KY249671,B,BAIX
KY249671,B,BAIX
KY249671,B,BAVII
KY249671,B,BAIV
KY249670,B,BAIX
KY249670,B,BAIX
KY249670,B,BAIX
KY249670,B,BAVII
KY249670,B,BAIX
KY249668,B,BAIX
KY249668,B,BAIX
KY249668,B,BAVII
KY249668,B,BAIX
KY249669,B,BAIX
KY249669,B,BAIX
KY249669,B,BAIX
KY249669,B,BAVII
KY249669,B,BAIV
KY249669,B,BAIX
KY249667,B,BAIX
KY249667,B,BAIX
KY249667,B,BAVII
KY249667,B,BAIX
KY249667,B,BAIX
KY249666,B,BAX
KY249666,B,BAVII
KY249666,B,BAIV
KY249666,B,BAIX
KY249666,B,BAX
KY249666,B,BAIX
KY249665,B,BAIX
KY249665,B,BAIX
KY249665,B,BAVII
KY249665,B,BAIX
KY249664,B,BAIX
KY249664,B,BAIX
KY249664,B,BAIX
KY249664,B,BAIX
KY249664,B,BAIII
KY249664,B,BAIV
KY249663,B,BAIX
KY249663,B,BAIX
KY249663,B,BAVII
KY249663,B,BAIV
KY249663,B,BAIX
KY249663,B,BAVII
KY249662,B,BAVII
KY249662,B,BAVI
KY249662,B,BAIX
KY249662,B,BAX
KY249662,B,BAVI
KY249662,B,BAIX
KY249661,B,BAX
KY249661,B,BAI
KY249661,B,BAVII
KY249661,B,BAI
KY249661,B,BAIII
KY249661,B,BAX
KY249659,B,BAVII
KY249659,B,BAX
KY249659,B,BAIX
KY249659,B,BAIV
KY249659,B,BAIX
KY249659,B,BAX
KY249660,B,BAIX
KY249660,B,BAIX
KY249660,B,BAVII
KY249660,B,BAIX
KY249658,B,BAIX
KY249658,B,BAIX
KY249658,B,BAVII
KY249658,B,BAIV
KY249657,B,BAIX
KY249657,B,BAVII
KY249657,B,BAIII
KY249657,B,BAIII
KY249657,B,BAI
KY249657,B,BAIX
KY249656,B,BAIX
KY249656,B,BAVII
KY249656,B,BAIX
KY249656,B,BAI
KY249656,B,BAI
KY249656,B,BAIX
KY249683,B,BAIX
KY249683,B,BAIX
KY249683,B,BAVII
KY249683,B,BAIX
KY249681,B,BAIX
KY249681,B,BAIX
KY249681,B,BAVII
KY249681,B,BAIX
KY249682,B,BAIX
KY249682,B,BAIX
KY249682,B,BAVII
KY249682,B,BAIX
