Accession ID,genotype
LC337809,A
LC337810,A
LC337811,A
LC337812,A
LC337813,A
LC337814,A
LC337815,A
LC337816,A
LC337817,A
LC337818,A
LC337819,A
LC337820,A
LC337821,A
LC337822,A
LC337823,A
LC337824,A
LC337825,A
LC337826,A
LC337827,A
LC337828,A
LC337829,A
LC337830,A
LC337831,A
LC337832,A
LC337833,A
LC337834,A
LC337835,A
LC337836,A
LC337837,A
LC337838,A
LC337839,A
LC337840,A
LC337841,A
LC337842,A
LC337843,A
LC337844,A
LC337845,A
LC337846,A
LC337847,A
LC337848,A
LC337849,A
LC337850,A
LC337851,A
LC337852,A
LC337853,A
LC337854,A
LC337855,A
LC337856,A
LC337857,A
LC337858,A
LC337859,A
LC337860,A
LC337861,A
LC337862,A
LC337863,A
LC337864,A
LC337865,A
LC337868,A
LC337866,A
LC337867,A
LC337869,A
LC337870,A
LC337871,A
LC337872,A
LC337873,A
LC337877,A
LC337876,A
LC337874,A
LC337875,A
LC337878,A
LC337879,A
LC337880,A
LC337881,A
LC337882,A
LC337883,A
LC337884,A
LC337885,A
LC337886,A
LC337887,A
LC337888,A
LC337889,A
LC337890,A
LC337891,A
LC337892,A
LC337893,A
LC337894,A
LC337895,A
LC337896,A
LC337897,A
LC337898,A
LC337899,A
LC337900,A
LC337901,A
LC337902,A
LC337903,A
LC337904,A
LC337905,A
LC337906,A
LC337907,A
LC337908,A
LC337909,A
LC337910,A
LC337912,A
LC337911,A
LC337913,A
LC337914,A
LC337915,A
LC337916,A
LC337917,A
LC337918,A
LC337919,A
LC337920,A
