Accession ID,subtype,genotype
AB160902,A,GA5
AB160902,A,GA5
AB160903,A,GA7
AB160903,A,GA7
AB160904,A,NA2
AB160904,A,NA2
AB160904,A,NA1
AB160905,A,GA3
AB160905,A,GA3
AB160906,A,GA5
AB160906,A,GA5
AB160907,A,GA5
AB160907,A,GA5
AB160907,A,SAA1
AB160907,A,SAA1
AB160908,A,GA7
AB160908,A,GA7
AB160908,A,GA3
AB160908,A,GA3
AB160909,A,GA5
AB160909,A,GA5
AB160910,A,GA7
AB160910,A,GA7
AB160911,A,GA7
AB160911,A,GA7
AB160912,A,GA7
AB160912,A,GA7
AB160913,A,GA7
AB160913,A,GA7
AB160913,A,GA3
AB160913,A,GA3
AB160914,A,GA7
AB160914,A,GA7
AB160915,A,GA2
AB160915,A,GA2
AB160915,A,NA1
AB160915,A,GA3
AB160915,A,GA3
AB160916,A,GA7
AB160916,A,GA7
AB160917,A,GA7
AB160917,A,GA7
AB160918,A,GA2
AB160918,A,GA2
AB160918,A,NA1
AB160918,A,GA3
AB160918,A,GA3
AB160919,A,GA2
AB160919,A,GA2
AB160920,A,GA5
AB160920,A,GA5
AB160921,A,SAA1
AB160921,A,GA6
AB160921,A,SAA1
AB160921,A,GA3
AB160921,A,GA3
AB160921,A,GA6
AB160922,A,SAA1
AB160922,A,GA6
AB160922,A,SAA1
AB160922,A,GA3
AB160922,A,GA3
AB160922,A,GA6
AB160923,A,GA6
AB160923,A,GA3
AB160923,A,GA3
AB160923,A,GA7
AB160923,A,GA6
AB160923,A,GA2
AB160924,A,SAA1
AB160924,A,GA6
AB160924,A,SAA1
AB160924,A,GA3
AB160924,A,GA3
AB160924,A,GA2
AB160925,A,GA6
AB160925,A,GA3
AB160925,A,GA3
AB160925,A,GA7
AB160925,A,GA2
AB160925,A,SAA1
AB160926,A,GA6
AB160926,A,GA2
AB160926,A,GA3
AB160926,A,GA3
AB160926,A,SAA1
AB160926,A,SAA1
AB160927,A,GA5
AB160927,A,GA5
AB160928,A,GA1
AB160928,A,GA6
AB160928,A,GA6
AB160928,A,SAA1
AB160928,A,SAA1
AB160929,A,GA1
AB160930,A,GA6
AB160930,A,GA3
AB160930,A,GA3
AB160930,A,GA7
AB160930,A,GA2
AB160930,A,SAA1
AB160931,A,GA3
AB160931,A,GA3
AB160932,A,GA3
AB160932,A,GA3
AB160932,A,GA7
AB160933,A,GA5
AB160933,A,GA5
AB160934,A,GA7
AB160934,A,GA7
AB160935,A,GA5
AB160935,A,GA5
AB160936,A,GA5
AB160936,A,GA5
AB160937,A,GA7
AB160937,A,GA7
AB160938,A,GA7
AB160938,A,GA7
AB160939,A,GA6
AB160939,A,GA3
AB160939,A,GA3
AB160939,A,GA7
AB160939,A,GA2
AB160939,A,SAA1
AB160940,A,GA1
AB160941,A,GA3
AB160941,A,GA3
AB160941,A,GA7
AB160941,A,GA6
AB160941,A,GA7
AB160941,A,SAA1
AB160942,A,GA3
AB160942,A,GA3
AB160942,A,GA7
AB160942,A,GA6
AB160942,A,GA2
AB160942,A,SAA1
AB160943,A,GA6
AB160943,A,GA2
AB160943,A,GA3
AB160943,A,GA3
AB160943,A,SAA1
AB160943,A,SAA1
AB160944,A,GA7
AB160944,A,GA6
AB160944,A,GA3
AB160944,A,GA3
AB160944,A,GA2
AB160944,A,GA2
AB160945,A,SAA1
AB160945,A,GA6
AB160945,A,SAA1
AB160945,A,GA3
AB160945,A,GA3
AB160945,A,GA6
AB160946,A,GA3
AB160946,A,GA3
AB160946,A,GA6
AB160946,A,GA2
AB160947,A,GA3
AB160947,A,GA3
AB160948,A,GA5
AB160948,A,GA5
AB160949,A,GA7
