Accession ID,subtype,genotype
MW026999,A,ON1
MW026999,A,ON1
MW026999,A,ON1
MW026999,A,ON1
MW026999,A,ON1
MW027004,A,ON1
MW027004,A,ON1
MW027004,A,ON1
MW027004,A,ON1
MW027004,A,ON1
MW026996,A,ON1
MW026996,A,ON1
MW026996,A,ON1
MW026996,A,ON1
MW030962,B,BAIX
MW030962,B,BAIX
MW030962,B,BAVII
MW030962,B,BAIII
MW030962,B,BAIII
MW030962,B,BAIX
MW026974,A,ON1
MW026974,A,ON1
MW026974,A,ON1
MW026974,A,ON1
MW026974,A,ON1
MW026994,A,ON1
MW026994,A,ON1
MW026994,A,ON1
MW026994,A,ON1
MW026995,A,ON1
MW026995,A,ON1
MW026995,A,ON1
MW026995,A,ON1
MW026998,A,ON1
MW026998,A,ON1
MW026998,A,ON1
MW026998,A,ON1
MW026998,A,ON1
MW027001,A,ON1
MW027001,A,ON1
MW027001,A,ON1
MW027001,A,ON1
MW027001,A,ON1
MW027002,A,ON1
MW027002,A,ON1
MW027002,A,ON1
MW027002,A,ON1
MW027002,A,ON1
MW027003,A,ON1
MW027003,A,ON1
MW027003,A,ON1
MW027003,A,ON1
MW027003,A,ON1
MW030961,B,BAIX
MW030961,B,BAIX
MW030961,B,BAVII
MW030961,B,BAIII
MW030961,B,BAIII
MW030961,B,BAIX
MW030966,B,BAIX
MW030966,B,BAIX
MW030966,B,BAVII
MW030966,B,BAIX
MW030973,B,BAIX
MW030973,B,BAIX
MW030973,B,BAVII
MW030973,B,BAVI
MW030973,B,BAIX
MW030973,B,BAVII
MW030978,B,BAIX
MW030978,B,BAIX
MW030978,B,BAIX
MW030978,B,BAVII
MW030978,B,BAIII
MW030978,B,BAIX
MW026975,A,ON1
MW026975,A,ON1
MW026975,A,ON1
MW026975,A,ON1
MW026975,A,ON1
MW026976,A,ON1
MW026976,A,ON1
MW026976,A,ON1
MW026976,A,ON1
MW026976,A,ON1
MW026977,A,ON1
MW026977,A,ON1
MW026977,A,ON1
MW026977,A,ON1
MW026977,A,ON1
MW027000,A,ON1
MW027000,A,ON1
MW027000,A,ON1
MW027000,A,ON1
MW027000,A,ON1
MW030963,B,BAIX
MW030963,B,BAIX
MW030963,B,BAVII
MW030963,B,BAIII
MW030963,B,BAIII
MW030963,B,BAIX
MW030965,B,BAIX
MW030965,B,BAIX
MW030965,B,BAVII
MW030965,B,BAIX
MW030967,B,BAIX
MW030967,B,BAIX
MW030967,B,BAVII
MW030967,B,BAIX
MW030968,B,BAIX
MW030968,B,BAIX
MW030968,B,BAVII
MW030968,B,BAIX
MW030974,B,BAIX
MW030974,B,BAIX
MW030974,B,BAVII
MW030974,B,BAVI
MW030974,B,BAIX
MW030974,B,BAVII
MW026993,A,ON1
MW026993,A,ON1
MW026993,A,ON1
MW030977,B,BAIX
MW030977,B,BAIX
MW030977,B,BAVII
MW030977,B,BAIII
MW030977,B,BAIII
MW030977,B,BAIX
MW030979,B,BAIX
MW030979,B,BAVI
MW030979,B,BAI
MW030979,B,BAI
MW030979,B,BAIII
MW030979,B,BAIII
MW026973,A,ON1
MW026973,A,ON1
MW026973,A,ON1
MW026973,A,ON1
MW026973,A,ON1
MW030969,B,BAIX
MW030969,B,BAVII
MW030969,B,BAIX
MW030969,B,BAIX
MW030969,B,BAX
MW030969,B,BAVII
MW030975,B,BAIX
MW030975,B,BAVII
MW030975,B,BAIX
MW030975,B,BAIX
MW030975,B,BAVII
MW026978,A,ON1
MW026978,A,ON1
MW026978,A,ON1
MW026978,A,ON1
MW026978,A,ON1
MW030970,B,BAIX
MW030970,B,BAIX
MW030970,B,BAVII
MW030970,B,BAIX
MW030971,B,BAIX
MW030971,B,BAIX
MW030971,B,BAVII
MW030971,B,BAIX
MW030972,B,BAIX
MW030972,B,BAIX
MW030972,B,BAVII
MW030972,B,BAIII
MW030972,B,BAIX
MW030980,B,BAIX
MW030980,B,BAIX
MW030980,B,BAIX
MW026992,A,ON1
MW026992,A,ON1
MW026992,A,ON1
MW026992,A,ON1
MW026992,A,ON1
MW026997,A,ON1
MW026997,A,ON1
MW026997,A,ON1
MW026997,A,ON1
MW026997,A,ON1
MW030976,B,BAIX
MW030976,B,BAIX
MW030976,B,BAVII
MW030976,B,BAVI
MW030976,B,BAIX
MW030981,B,BAIX
MW030981,B,BAIX
MW030981,B,BAVII
MW030981,B,BAIX
MW026969,A,ON1
MW026969,A,ON1
MW026969,A,ON1
MW026969,A,ON1
MW026969,A,ON1
MW030964,B,BAIX
MW030964,B,BAIX
MW030964,B,BAVII
MW030964,B,BAIX
MW026981,A,ON1
MW026981,A,ON1
MW026981,A,ON1
MW026981,A,ON1
MW026981,A,ON1
MW026991,A,ON1
MW026991,A,ON1
MW026991,A,ON1
MW026991,A,ON1
MW026991,A,ON1
MW026979,A,ON1
MW026979,A,ON1
MW026979,A,ON1
MW026979,A,ON1
MW026979,A,ON1
MW026982,A,ON1
MW026982,A,ON1
MW026982,A,ON1
MW026982,A,ON1
MW026982,A,ON1
MW026985,A,ON1
MW026985,A,ON1
MW026985,A,ON1
MW026985,A,ON1
MW026985,A,ON1
MW026987,A,ON1
MW026987,A,ON1
MW026987,A,ON1
MW026987,A,ON1
MW026987,A,ON1
MW026990,A,ON1
MW026990,A,ON1
MW026990,A,ON1
MW026990,A,ON1
MW026990,A,ON1
MW026983,A,ON1
MW026983,A,ON1
MW026983,A,ON1
MW026983,A,ON1
MW026983,A,ON1
MW026986,A,ON1
MW026986,A,ON1
MW026986,A,ON1
MW026986,A,ON1
MW026986,A,ON1
MW026970,A,ON1
MW026970,A,ON1
MW026970,A,ON1
MW026970,A,ON1
MW026970,A,ON1
MW026988,A,ON1
MW026988,A,ON1
MW026988,A,ON1
MW026988,A,ON1
MW026988,A,ON1
MW026989,A,ON1
MW026989,A,ON1
MW026989,A,ON1
MW026989,A,ON1
MW026989,A,ON1
MW026971,A,ON1
MW026971,A,ON1
MW026971,A,ON1
MW026971,A,ON1
MW026971,A,ON1
MW026972,A,ON1
MW026972,A,ON1
MW026972,A,ON1
MW026972,A,ON1
MW026972,A,ON1
MW026984,A,ON1
MW026984,A,ON1
MW026984,A,ON1
MW026984,A,ON1
MW026984,A,ON1
MW026980,A,ON1
MW026980,A,ON1
MW026980,A,ON1
MW026980,A,ON1
MW026980,A,ON1
