Accession ID,genotype
MF479450,A
MF479566,B
MF479451,A
MF479452,A
MF479453,A
MF479454,A
MF479455,A
MF479456,A
MF479457,A
MF479567,B
MF479568,B
MF479569,B
MF479571,B
MF479570,B
MF479572,B
MF479458,A
MF479573,B
MF479574,B
MF479459,A
MF479460,A
MF479461,A
MF479462,A
MF479575,B
MF479463,A
MF479464,A
MF479465,A
MF479466,A
MF479467,A
MF479468,A
MF479576,B
MF479469,A
MF479470,A
MF479577,B
MF479578,B
MF479471,A
MF479472,A
MF479473,A
MF479474,A
MF479475,A
MF479476,A
MF479579,B
MF479477,A
MF479580,B
MF479581,B
MF479582,B
MF479583,B
MF479478,A
MF479479,A
MF479480,A
MF479481,A
MF479584,B
MF479482,A
MF479483,A
MF479484,A
MF479585,B
MF479485,A
MF479486,A
MF479586,B
MF479587,B
MF479643,B
MF479487,A
MF479488,A
MF479588,B
MF479449,A
MF479489,A
MF479590,B
MF479490,A
MF479589,B
MF479491,A
MF479591,B
MF479492,A
MF479493,A
MF479494,A
MF479495,A
MF479497,A
MF479496,A
MF479498,A
MF479500,A
MF479499,A
MF479502,A
MF479501,A
MF479503,A
MF479504,A
MF479505,A
MF479506,A
MF479507,A
MF479508,A
MF479509,A
MF479510,A
MF479592,B
MF479593,B
MF479594,B
MF479595,B
MF479511,A
MF479512,A
MF479514,A
MF479446,A
MF479513,A
MF479515,A
MF479596,B
MF479597,B
MF479516,A
MF479598,B
MF479517,A
MF479518,A
MF479599,B
MF479600,B
MF479519,A
MF479520,A
MF479521,A
MF479522,A
MF479601,B
MF479602,B
MF479523,A
MF479524,A
MF479525,A
MF479526,A
MF479527,A
MF479528,A
MF479530,A
MF479531,A
MF479529,A
MF479603,B
MF479448,A
MF479532,A
MF479533,A
MF479534,A
MF479537,A
MF479535,A
MF479447,A
MF479536,A
MF479538,A
MF479539,A
MF479540,A
MF479541,A
MF479604,B
MF479605,B
MF479606,B
MF479607,B
MF479608,B
MF479609,B
MF479610,B
MF479611,B
MF479612,B
MF479613,B
MF479542,A
MF479614,B
MF479543,A
MF479615,B
MF479616,B
MF479617,B
MF479618,B
MF479619,B
MF479620,B
MF479621,B
MF479622,B
MF479544,A
MF479623,B
MF479545,A
MF479546,A
MF479624,B
MF479625,B
MF479626,B
MF479627,B
MF479547,A
MF479548,A
MF479549,A
MF479550,A
MF479551,A
MF479552,A
MF479553,A
MF479628,B
MF479554,A
MF479629,B
MF479630,B
MF479631,B
MF479632,B
MF479555,A
MF479633,B
MF479634,B
MF479635,B
MF479557,A
MF479556,A
MF479636,B
MF479637,B
MF479559,A
MF479638,B
MF479558,A
MF479560,A
MF479561,A
MF479639,B
MF479562,A
MF479563,A
MF479564,A
MF479640,B
MF479641,B
MF479565,A
MF479642,B
