Accession ID,genotype
MN251607,A
MN531557,A
MN031604,B
MN031605,B
MN031606,B
MN031607,B
MN031608,B
MN031609,B
MN031610,B
MN031611,B
MN031612,B
MN031613,B
MN031614,B
MN031615,B
MN031616,B
MN031617,B
MN031618,B
MN031619,B
MN031620,B
MN031621,B
MN031622,B
MN031623,B
MN031624,B
MN031625,B
MN031626,B
MN031627,B
MN031628,B
MN031629,B
MN031630,B
MN031631,B
MN031632,B
MN031633,B
MN031634,B
MN031635,B
MN031636,B
MN031637,B
MN031638,B
MN031639,B
MN031640,B
MN031641,B
MN031642,B
MN031643,B
MN031644,B
MN031645,B
MN031646,B
MN031647,B
MN031648,B
MN031649,B
MN031650,B
MN031651,B
MN031652,B
MN031653,A
MN031654,B
MN031655,B
MN031656,B
MN031657,B
MN031658,B
MN031659,B
MN031660,B
MN031661,B
MN031662,B
MN031663,B
MN031664,B
MN031665,B
MN031666,B
MN031667,B
MN031668,B
MN031669,B
MN031670,B
MN031671,B
MN031672,B
MN031673,B
MN031674,B
MN031675,B
MN031676,B
MN031677,B
MN031678,B
MN031679,B
MN031680,B
MN031681,B
MN031682,B
MN031683,A
MN031684,B
MN031685,B
MN031686,B
MN031687,B
MN031689,B
MN031690,B
MN031691,B
MN031692,B
MN031693,B
MN031694,B
MN031695,B
MN031696,B
MN031697,B
MN031698,B
MN031699,B
MN031700,A
MN031701,B
MN031702,B
MN031703,B
MN031704,B
MN031705,B
MN031706,B
MN031707,B
MN031708,B
MN031709,B
MN031710,A
MN031711,A
MN031712,B
MN031713,B
MN031714,B
MN031715,B
MN031716,B
MN031717,B
MN031718,B
MN031719,B
MN031720,B
MN031721,B
MN031722,B
MN031723,B
MN031724,B
MN031725,B
MN031726,A
MN031727,B
MN031728,B
MN031729,B
MN031730,B
MN031731,B
MN031732,B
MN031733,B
MN031735,B
MN031736,B
MN031737,B
MN031738,B
MN031739,B
MN031740,B
