Accession ID,genotype
MF978510,A
MF978513,A
MF978514,A
MF978515,A
MF978516,A
MF978554,A
MF978555,A
MF978556,A
MF978557,A
MF978558,A
MF978559,A
MF978560,A
MF978561,A
MF978711,B
MF978511,A
MF978512,A
MF978517,A
MF978518,A
MF978519,A
MF978520,A
MF978521,A
MF978522,A
MF978523,A
MF978524,A
MF978525,A
MF978526,A
MF978527,A
MF978528,A
MF978529,A
MF978530,A
MF978531,A
MF978532,A
MF978533,A
MF978534,A
MF978535,A
MF978537,A
MF978538,A
MF978539,A
MF978540,A
MF978541,A
MF978542,A
MF978543,A
MF978544,A
MF978547,A
MF978548,A
MF978549,A
MF978550,A
MF978551,A
MF978552,A
MF978553,A
MF978562,A
MF978563,A
MF978564,A
MF978565,A
MF978566,A
MF978567,A
MF978568,A
MF978569,A
MF978570,A
MF978571,A
MF978572,A
MF978578,A
MF978579,A
MF978580,A
MF978581,A
MF978582,A
MF978583,A
MF978584,A
MF978585,A
MF978586,A
MF978587,A
MF978588,A
MF978589,A
MF978590,A
MF978591,A
MF978592,A
MF978593,A
MF978594,A
MF978595,A
MF978596,A
MF978597,A
MF978598,A
MF978599,A
MF978600,A
MF978601,A
MF978602,A
MF978603,A
MF978604,A
MF978605,A
MF978606,A
MF978607,A
MF978608,A
MF978609,A
MF978610,A
MF978611,A
MF978612,A
MF978613,A
MF978614,A
MF978615,A
MF978616,A
MF978617,A
MF978618,A
MF978619,A
MF978620,A
MF978621,A
MF978622,A
MF978623,A
MF978624,A
MF978625,A
MF978626,A
MF978627,A
MF978628,A
MF978629,A
MF978630,A
MF978631,A
MF978632,A
MF978633,A
MF978634,A
MF978635,A
MF978636,A
MF978637,A
MF978638,A
MF978639,A
MF978640,A
MF978641,A
MF978642,A
MF978643,A
MF978644,A
MF978645,A
MF978646,A
MF978647,A
MF978648,A
MF978649,A
MF978650,A
MF978651,A
MF978652,A
MF978653,A
MF978654,A
MF978655,A
MF978656,A
MF978657,A
MF978658,A
MF978659,A
MF978660,A
MF978661,A
MF978662,A
MF978663,A
MF978664,A
MF978665,A
MF978666,A
MF978667,A
MF978668,A
MF978669,A
MF978670,A
MF978671,A
MF978672,A
MF978673,A
MF978674,A
MF978675,A
MF978676,A
MF978677,A
MF978678,A
MF978679,A
MF978680,A
MF978681,A
MF978682,A
MF978683,A
MF978684,A
MF978685,A
MF978686,A
MF978687,A
MF978688,A
MF978689,A
MF978690,A
MF978691,A
MF978692,A
MF978696,B
MF978697,B
MF978698,B
MF978699,B
MF978700,B
MF978701,B
MF978705,B
MF978706,B
MF978710,B
MF978712,B
MF978713,B
MF978714,B
MF978715,B
MF978716,B
MF978717,B
MF978718,B
MF978719,B
MF978720,B
MF978721,B
MF978722,B
MF978723,B
MF978724,B
MF978725,B
MF978738,B
MF978739,B
MF978740,B
MF978741,B
MF978742,B
MF978743,B
MF978744,B
MF978745,B
MF978746,B
MF978747,B
MF978748,B
MF978749,B
MF978750,B
MF978751,B
MF978752,B
MF978753,B
MF978754,B
MF978755,B
MF978756,B
MF978536,A
MF978545,A
MF978546,A
MF978573,A
MF978574,A
MF978575,A
MF978576,A
MF978577,A
MF978693,B
MF978694,B
MF978695,B
MF978702,B
MF978703,B
MF978704,B
MF978707,B
MF978708,B
MF978709,B
MF978726,B
MF978727,B
MF978728,B
MF978729,B
MF978730,B
MF978731,B
MF978732,B
MF978733,B
MF978734,B
MF978735,B
MF978736,B
MF978737,B
MF978757,B
MF978758,B
MF978759,B
MF978760,B
MF978761,B
