Accession ID,subtype,genotype
AB775947,A,NA1
AB775947,A,NA1
AB775947,A,NA1
AB775947,A,NA1
AB775985,B,BAX
AB775985,B,BAX
AB775985,B,BAVII
AB775985,B,BAVII
AB775985,B,BAI
AB775985,B,BAI
AB775965,A,NA1
AB775965,A,NA1
AB775965,A,NA1
AB775948,A,NA1
AB775948,A,NA1
AB775948,A,NA1
AB775949,A,NA1
AB775949,A,NA1
AB775949,A,NA1
AB775949,A,GA2
AB775951,A,NA1
AB775951,A,NA1
AB775951,A,NA1
AB775950,A,NA1
AB775950,A,NA1
AB775952,A,NA1
AB775952,A,NA1
AB775953,A,NA1
AB775953,A,NA1
AB775954,A,NA1
AB775954,A,NA1
AB775955,A,NA1
AB775955,A,NA1
AB775955,A,NA1
AB775958,A,NA1
AB775958,A,NA1
AB775958,A,NA1
AB775958,A,GA2
AB775959,A,NA1
AB775959,A,NA1
AB775960,A,NA1
AB775960,A,NA1
AB775961,A,NA1
AB775961,A,NA1
AB775961,A,NA1
AB775962,A,NA1
AB775962,A,NA1
AB775962,A,NA1
AB775962,A,NA1
AB775963,A,NA1
AB775963,A,NA1
AB775963,A,NA1
AB775963,A,GA2
AB775956,A,NA1
AB775956,A,NA1
AB775957,A,NA1
AB775957,A,NA1
AB775964,A,NA1
AB775964,A,NA1
AB775966,A,NA1
AB775966,A,NA1
AB775966,A,NA1
AB775967,A,NA1
AB775967,A,NA1
AB775968,A,NA1
AB775968,A,NA1
AB775968,A,NA1
AB775969,A,NA1
AB775969,A,NA1
AB775969,A,NA1
AB775969,A,NA1
AB775970,A,NA1
AB775970,A,NA1
AB775971,A,NA1
AB775971,A,NA1
AB775971,A,NA1
AB775986,B,BAVII
AB775986,B,BAVII
AB775986,B,BAIX
AB775986,B,BAIX
AB775986,B,BAVIII
AB775986,B,BAVIII
AB775987,B,BAX
AB775987,B,BAVII
AB775987,B,BAX
AB775987,B,BAVII
AB775987,B,BAI
AB775987,B,BAIV
AB775972,A,NA1
AB775972,A,NA1
AB775988,B,BAX
AB775988,B,BAVII
AB775988,B,BAX
AB775988,B,BAVII
AB775988,B,BAI
AB775988,B,BAIV
AB775989,B,BAVII
AB775989,B,BAVII
AB775989,B,BAX
AB775989,B,BAVIII
AB775989,B,BAVIII
AB775989,B,BAX
AB775990,B,BAX
AB775990,B,BAX
AB775990,B,BAVII
AB775990,B,BAVII
AB775990,B,BAVIII
AB775990,B,BAVIII
AB775991,B,BAIX
AB775991,B,BAIX
AB775991,B,BAIX
AB775991,B,BAIX
AB775991,B,BAVII
AB775991,B,BAVII
AB775992,B,BAX
AB775992,B,BAVII
AB775992,B,BAX
AB775992,B,BAVII
AB775992,B,BAVIII
AB775992,B,BAVIII
AB775993,B,BAIX
AB775993,B,BAIX
AB775993,B,BAIX
AB775993,B,BAVII
AB775993,B,BAVII
AB775973,A,NA1
AB775973,A,NA1
AB775973,A,NA1
AB775994,B,BAIX
AB775994,B,BAIX
AB775994,B,BAIX
AB775994,B,BAIX
AB775994,B,BAVII
AB775994,B,BAVII
AB775995,B,BAIX
AB775995,B,BAIX
AB775995,B,BAIX
AB775995,B,BAVII
AB775995,B,BAVII
AB775974,A,NA1
AB775974,A,NA1
AB775976,A,NA1
AB775976,A,NA1
AB775976,A,NA1
AB775975,A,NA1
AB775975,A,NA1
AB775975,A,NA1
AB775975,A,NA1
AB775996,B,BAI
AB775996,B,BAI
AB775996,B,BAVI
AB775996,B,BAVII
AB775996,B,BAIII
AB775996,B,BAIII
AB775997,B,BAIX
AB775997,B,BAIX
AB775997,B,BAIX
AB775997,B,BAVII
AB775997,B,BAIX
AB775997,B,BAVII
AB775998,B,BAIX
AB775998,B,BAIX
AB775998,B,BAIX
AB775998,B,BAVII
AB775998,B,BAIX
AB775998,B,BAVII
AB775977,A,NA1
AB775977,A,NA1
AB775977,A,NA1
AB775978,A,NA1
AB775978,A,NA1
AB775978,A,NA1
AB775978,A,NA1
AB775979,A,NA1
AB775979,A,NA1
AB775979,A,NA1
AB776001,B,THB
AB776001,B,THB
AB775981,A,NA1
AB775981,A,NA1
AB775981,A,NA1
AB775980,A,NA1
AB775980,A,NA1
AB775980,A,NA1
AB775980,A,NA1
AB775999,B,BAIX
AB775999,B,BAIX
AB775999,B,BAIX
AB775999,B,BAVII
AB775999,B,BAVII
AB775999,B,BAVIII
AB775982,A,NA1
AB775982,A,NA1
AB775983,A,NA1
AB775983,A,NA1
AB775984,A,NA1
AB775984,A,NA1
AB775984,A,NA1
AB775984,A,GA2
AB776000,B,BAVII
AB776000,B,BAIX
AB776000,B,BAVIII
AB776000,B,BAIX
AB776000,B,BAIX
AB776000,B,BAIX
