Accession ID,subtype,genotype
GQ150687,B,BAI
GQ150687,B,BAI
GQ150687,B,BAIII
GQ150687,B,BAIII
GQ150687,B,BAIV
GQ150687,B,BAVII
GQ150688,B,BAI
GQ150688,B,BAI
GQ150688,B,BAIII
GQ150688,B,BAIII
GQ150688,B,BAIV
GQ150688,B,BAVII
GQ150689,B,BAI
GQ150689,B,BAI
GQ150689,B,BAIII
GQ150689,B,BAIII
GQ150689,B,BAIV
GQ150689,B,BAVII
GQ150690,B,BAI
GQ150690,B,BAIII
GQ150690,B,BAI
GQ150690,B,BAIV
GQ150690,B,BAVII
GQ150690,B,BAIII
GQ150691,B,BAIII
GQ150691,B,BAIII
GQ150691,B,BAI
GQ150691,B,BAIV
GQ150691,B,BAI
GQ150691,B,BAVII
GQ150692,B,BAI
GQ150692,B,BAI
GQ150692,B,BAIII
GQ150692,B,BAIV
GQ150692,B,BAVII
GQ150692,B,BAIX
GQ150693,B,BAVII
GQ150693,B,BAI
GQ150693,B,BAIII
GQ150693,B,BAIII
GQ150693,B,BAVI
GQ150693,B,BAVI
GQ150694,B,BAVII
GQ150694,B,BAIX
GQ150694,B,BAIX
GQ150694,B,BAIV
GQ150694,B,BAIX
GQ150694,B,BAVII
GQ150695,B,BAVII
GQ150695,B,BAIX
GQ150695,B,BAIX
GQ150695,B,BAIV
GQ150695,B,BAVI
GQ150695,B,BAVII
GQ150696,B,BAVII
GQ150696,B,BAI
GQ150696,B,BAIX
GQ150696,B,BAIX
GQ150696,B,BAVI
GQ150696,B,BAVII
GQ150697,B,BAVII
GQ150697,B,BAI
GQ150697,B,BAIX
GQ150697,B,BAIX
GQ150697,B,BAVI
GQ150697,B,BAVII
GQ150698,B,BAVII
GQ150698,B,BAIX
GQ150698,B,BAIX
GQ150698,B,BAIV
GQ150698,B,BAIX
GQ150698,B,BAVII
GQ150699,B,BAVII
GQ150699,B,BAI
GQ150699,B,BAVI
GQ150699,B,BAVI
GQ150699,B,BAIII
GQ150699,B,BAIII
GQ150700,B,BAVII
GQ150700,B,BAI
GQ150700,B,BAIX
GQ150700,B,BAIX
GQ150700,B,BAVI
GQ150700,B,BAVII
GQ150701,B,BAVII
GQ150701,B,BAIX
GQ150701,B,BAIX
GQ150701,B,BAIV
GQ150701,B,BAVI
GQ150701,B,BAVII
GQ150702,B,BAVII
GQ150702,B,BAIX
GQ150702,B,BAIX
GQ150702,B,BAIV
GQ150702,B,BAVI
GQ150702,B,BAVII
GQ150705,B,BAVII
GQ150705,B,BAIX
GQ150705,B,BAIX
GQ150705,B,BAIX
GQ150705,B,BAVI
GQ150705,B,BAVII
GQ150706,B,BAIII
GQ150706,B,BAIII
GQ150706,B,BAI
GQ150706,B,BAIV
GQ150706,B,BAI
GQ150706,B,BAVII
GQ150703,B,BAVII
GQ150703,B,BAIX
GQ150703,B,BAIX
GQ150703,B,BAIX
GQ150703,B,BAVI
GQ150703,B,BAVII
GQ150704,B,BAVII
GQ150704,B,BAIX
GQ150704,B,BAIX
GQ150704,B,BAIX
GQ150704,B,BAVI
GQ150704,B,BAVII
GQ150707,B,BAIX
GQ150707,B,BAIX
GQ150707,B,BAIX
GQ150707,B,BAVII
GQ150707,B,BAIV
GQ150707,B,BAIII
GQ150708,B,BAVII
GQ150708,B,BAIX
GQ150708,B,BAIX
GQ150708,B,BAIX
GQ150708,B,BAVI
GQ150708,B,BAVII
GQ150710,B,BAIX
GQ150710,B,BAIX
GQ150710,B,BAIX
GQ150710,B,BAVII
GQ150710,B,BAIV
GQ150710,B,BAIII
GQ150709,B,BAVII
GQ150709,B,BAIX
GQ150709,B,BAIX
GQ150709,B,BAIV
GQ150709,B,BAIX
GQ150709,B,BAVII
GQ150711,B,BAVII
GQ150711,B,BAIX
GQ150711,B,BAIX
GQ150711,B,BAIV
GQ150711,B,BAIX
GQ150711,B,BAVII
GQ150713,B,BAIX
GQ150713,B,BAIX
GQ150713,B,BAIX
GQ150713,B,BAVII
GQ150713,B,BAVI
GQ150713,B,BAVI
GQ150712,B,BAIX
GQ150712,B,BAIX
GQ150712,B,BAIX
GQ150712,B,BAVII
GQ150712,B,BAIV
GQ150712,B,BAIII
GQ150714,B,BAVII
GQ150714,B,BAI
GQ150714,B,BAIX
GQ150714,B,BAIX
GQ150714,B,BAIX
GQ150714,B,BAVII
GQ150715,B,BAVII
GQ150715,B,BAIX
GQ150715,B,BAIX
GQ150715,B,BAIV
GQ150715,B,BAVI
GQ150715,B,BAVII
GQ150716,B,BAIX
GQ150716,B,BAVII
GQ150716,B,BAVI
GQ150716,B,BAVI
GQ150716,B,BAIII
GQ150716,B,BAX
GQ150717,B,BAIX
GQ150717,B,BAIX
GQ150717,B,BAIX
GQ150717,B,BAVII
GQ150717,B,BAIV
GQ150717,B,BAIX
GQ150718,B,BAVII
GQ150718,B,BAIX
GQ150718,B,BAIX
GQ150718,B,BAIX
GQ150718,B,BAIV
GQ150718,B,BAIII
GQ150720,B,BAIX
GQ150720,B,BAIX
GQ150720,B,BAIX
GQ150720,B,BAVII
GQ150720,B,BAIV
GQ150720,B,BAIX
GQ150721,B,BAIX
GQ150721,B,BAVII
GQ150721,B,BAIX
GQ150721,B,BAIX
GQ150721,B,BAIV
GQ150721,B,BAIII
GQ150719,B,BAIX
GQ150719,B,BAIX
GQ150719,B,BAIX
GQ150719,B,BAVII
GQ150719,B,BAIV
GQ150719,B,BAIII
GQ150722,B,BAIX
GQ150722,B,BAVII
GQ150722,B,BAIX
GQ150722,B,BAIX
GQ150722,B,BAIV
GQ150722,B,BAIII
GQ150723,B,BAIX
GQ150723,B,BAVII
GQ150723,B,BAVI
GQ150723,B,BAVI
GQ150723,B,BAIV
GQ150723,B,BAIX
GQ150725,B,BAVII
GQ150725,B,BAI
GQ150725,B,BAI
GQ150725,B,BAX
GQ150725,B,BAVI
GQ150725,B,BAVI
GQ150724,B,BAIX
GQ150724,B,BAIX
GQ150724,B,BAIX
GQ150724,B,BAVII
GQ150724,B,BAIV
GQ150724,B,BAIII
GQ150726,B,BAIX
GQ150726,B,BAIX
GQ150726,B,BAIX
GQ150726,B,BAVII
GQ150726,B,BAIV
GQ150726,B,BAIII
GQ150727,B,BAIX
GQ150727,B,BAIX
GQ150727,B,BAIX
GQ150727,B,BAVII
GQ150727,B,BAIV
GQ150727,B,BAIX
GQ150728,B,BAIX
GQ150728,B,BAIX
GQ150728,B,BAIX
GQ150728,B,BAVII
GQ150728,B,BAIV
GQ150728,B,BAIII
GQ150729,B,BAVII
GQ150729,B,BAX
GQ150729,B,BAIX
GQ150729,B,BAIV
GQ150729,B,BAIX
GQ150729,B,BAX
GQ150731,B,BAVII
GQ150731,B,BAX
GQ150731,B,BAIX
GQ150731,B,BAIV
GQ150731,B,BAIX
GQ150731,B,BAX
GQ150730,B,BAVII
GQ150730,B,BAX
GQ150730,B,BAIX
GQ150730,B,BAIV
GQ150730,B,BAIX
GQ150730,B,BAX
GQ150732,B,BAVII
GQ150732,B,BAX
GQ150732,B,BAIX
GQ150732,B,BAIV
GQ150732,B,BAIX
GQ150732,B,BAX
GQ150733,B,BAVII
GQ150733,B,BAX
GQ150733,B,BAIX
GQ150733,B,BAIV
GQ150733,B,BAIX
GQ150733,B,BAX
GQ150735,B,BAVII
GQ150735,B,BAX
GQ150735,B,BAIX
GQ150735,B,BAIV
GQ150735,B,BAIX
GQ150735,B,BAX
GQ150734,B,BAVII
GQ150734,B,BAX
GQ150734,B,BAIX
GQ150734,B,BAIV
GQ150734,B,BAIX
GQ150734,B,BAX
GQ150736,B,BAVII
GQ150736,B,BAIX
GQ150736,B,BAIV
GQ150736,B,BAX
GQ150736,B,BAIX
GQ150736,B,BAVII
GQ150737,B,BAVII
GQ150737,B,BAIX
GQ150737,B,BAIX
GQ150737,B,BAIX
GQ150737,B,BAXII
GQ150737,B,BAVII
GQ150738,B,BAVII
GQ150738,B,BAIX
GQ150738,B,BAIX
GQ150738,B,BAIX
GQ150738,B,BAXII
GQ150738,B,BAVII
GQ150739,B,BAVII
GQ150739,B,BAX
GQ150739,B,BAIX
GQ150739,B,BAI
GQ150739,B,BAIV
GQ150739,B,BAXII
GQ150740,B,BAVII
GQ150740,B,BAX
GQ150740,B,BAIX
GQ150740,B,BAIV
GQ150740,B,BAIX
GQ150740,B,BAVII
GQ150742,B,BAVII
GQ150742,B,BAX
GQ150742,B,BAIX
GQ150742,B,BAIV
GQ150742,B,BAIX
GQ150742,B,BAVII
GQ150741,B,BAVII
GQ150741,B,BAIX
GQ150741,B,BAIX
GQ150741,B,BAIX
GQ150741,B,BAX
GQ150741,B,BAVII
GQ150743,B,BAVII
GQ150743,B,BAI
GQ150743,B,BAIX
GQ150743,B,BAIV
GQ150743,B,BAX
GQ150743,B,BAVII
