Accession ID,subtype,genotype
KJ658798,B,BAIX
KJ658798,B,BAIX
KJ658798,B,BAIX
KJ658798,B,BAVII
KJ658798,B,BAIII
KJ658798,B,BAIX
KJ658783,B,BAVII
KJ658783,B,BAIII
KJ658783,B,BAI
KJ658783,B,BAIV
KJ658783,B,BAIX
KJ658783,B,BAIX
KJ658784,B,BAVII
KJ658784,B,BAIII
KJ658784,B,BAI
KJ658784,B,BAIV
KJ658784,B,BAIX
KJ658784,B,BAIX
KJ658793,B,BAIX
KJ658793,B,BAIX
KJ658793,B,BAIX
KJ658793,B,BAVII
KJ658793,B,BAI
KJ658793,B,BAVII
KJ658802,B,BAIX
KJ658802,B,BAIX
KJ658802,B,BAIX
KJ658802,B,BAVII
KJ658802,B,BAIV
KJ658802,B,BAIII
KJ658774,B,THB
KJ658774,B,THB
KJ658790,B,BAIX
KJ658790,B,BAIX
KJ658790,B,BAIX
KJ658790,B,BAVII
KJ658790,B,BAI
KJ658790,B,BAIX
KJ658797,B,BAIX
KJ658797,B,BAIX
KJ658797,B,BAIX
KJ658797,B,BAVII
KJ658797,B,BAIII
KJ658797,B,BAIX
KJ658775,B,THB
KJ658775,B,THB
KJ658796,B,BAIX
KJ658796,B,BAIX
KJ658796,B,BAIX
KJ658796,B,BAVII
KJ658796,B,BAIII
KJ658796,B,BAIX
KJ658811,A,NA1
KJ658811,A,NA1
KJ658811,A,NA1
KJ658773,B,THB
KJ658773,B,THB
KJ658812,A,NA1
KJ658812,A,NA1
KJ658812,A,NA1
KJ658766,B,THB
KJ658766,B,THB
KJ658804,B,BAIX
KJ658804,B,BAIX
KJ658804,B,BAI
KJ658804,B,BAVII
KJ658804,B,BAVI
KJ658804,B,BAVI
KJ658772,B,THB
KJ658772,B,THB
KJ658781,B,BAIII
KJ658781,B,BAI
KJ658781,B,BAVII
KJ658781,B,BAIV
KJ658781,B,BAIX
KJ658781,B,BAIX
KJ658786,B,BAVII
KJ658786,B,BAIII
KJ658786,B,BAI
KJ658786,B,BAIV
KJ658786,B,BAIX
KJ658786,B,BAIX
KJ658814,A,NA1
KJ658814,A,NA1
KJ658814,A,NA1
KJ658814,A,GA2
KJ658770,B,THB
KJ658770,B,THB
KJ658785,B,BAVII
KJ658785,B,BAIII
KJ658785,B,BAI
KJ658785,B,BAIV
KJ658785,B,BAIX
KJ658785,B,BAIX
KJ658794,B,BAIX
KJ658794,B,BAIX
KJ658794,B,BAIX
KJ658794,B,BAVII
KJ658794,B,BAI
KJ658794,B,BAVII
KJ658769,B,THB
KJ658769,B,THB
KJ658780,B,BAIII
KJ658780,B,BAI
KJ658780,B,BAVII
KJ658780,B,BAIV
KJ658780,B,BAIX
KJ658780,B,BAIX
KJ658782,B,BAIII
KJ658782,B,BAI
KJ658782,B,BAVII
KJ658782,B,BAIV
