Accession ID,genotype
JF776691,A
JF776740,B
JF776693,A
JF776742,B
JF776692,A
JF776743,B
JF776744,B
JF776741,B
JF776695,A
JF776745,B
JF776698,A
JF776694,A
JF776699,A
JF776700,A
JF776747,B
JF776748,B
JF776696,A
JF776697,A
JF776701,A
JF776702,A
JF776703,A
JF776704,A
JF776705,A
JF776746,B
JF776706,A
JF776752,B
JF776753,B
JF776707,A
JF776708,A
JF776709,A
JF776749,B
JF776710,A
JF776754,B
JF776711,A
JF776712,A
JF776713,A
JF776755,B
JF776756,B
JF776759,B
JF776714,A
JF776750,B
JF776715,A
JF776757,B
JF776751,B
JF776758,B
JF776760,B
JF776761,B
JF776721,A
JF776731,A
JF776716,A
JF776717,A
JF776770,B
JF776722,A
JF776771,B
JF776767,B
JF776718,A
JF776723,A
JF776768,B
JF776724,A
JF776766,B
JF776769,B
JF776764,B
JF776762,B
JF776763,B
JF776719,A
JF776765,B
JF776725,A
JF776726,A
JF776720,A
JF776730,A
JF776775,B
JF776776,B
JF776772,B
JF776777,B
JF776773,B
JF776727,A
JF776732,A
JF776774,B
JF776728,A
JF776733,A
JF776734,A
JF776729,A
JF776735,A
JF776736,A
JF776737,A
JF776738,A
JF776739,A
JF776778,B
JF776779,B
