Accession ID,subtype,genotype
KJ690591,B,BAVII
KJ690591,B,BAIX
KJ690591,B,BAIX
KJ690591,B,BAI
KJ690591,B,BAIV
KJ690591,B,BAVII
KJ690593,B,BAIX
KJ690593,B,BAIX
KJ690593,B,BAIX
KJ690593,B,BAVII
KJ690593,B,BAIV
KJ690593,B,BAIII
KJ690600,B,BAVII
KJ690600,B,BAIX
KJ690600,B,BAIX
KJ690600,B,BAIX
KJ690600,B,BAIV
KJ690600,B,BAIII
KJ690610,B,BAVII
KJ690610,B,BAIX
KJ690610,B,BAIX
KJ690610,B,BAIX
KJ690610,B,BAIV
KJ690610,B,BAIII
KJ690605,B,BAXII
KJ690605,B,BAXII
KJ690606,B,BAIX
KJ690606,B,BAIX
KJ690606,B,BAIX
KJ690606,B,BAVII
KJ690606,B,BAI
KJ690606,B,BAVII
KJ690607,B,BAIX
KJ690607,B,BAIX
KJ690607,B,BAIX
KJ690607,B,BAVII
KJ690607,B,BAIV
KJ690607,B,BAIX
KJ690592,B,BAXII
KJ690592,B,BAXII
KJ690596,B,BAIX
KJ690596,B,BAIX
KJ690596,B,BAIX
KJ690596,B,BAVII
KJ690596,B,BAI
KJ690596,B,BAVII
KJ690595,B,BAIX
KJ690595,B,BAIX
KJ690595,B,BAIX
KJ690595,B,BAVII
KJ690595,B,BAIV
KJ690595,B,BAIX
KJ690603,B,BAI
KJ690603,B,BAIII
KJ690603,B,BAIV
KJ690603,B,BAIII
KJ690603,B,BAVII
KJ690603,B,BAXII
KJ690604,B,BAX
KJ690604,B,BAVII
KJ690604,B,BAX
KJ690594,B,BAIX
KJ690594,B,BAIX
KJ690594,B,BAIX
KJ690594,B,BAVII
KJ690594,B,BAIII
KJ690594,B,BAIII
KJ690608,B,BAIX
KJ690608,B,BAIX
KJ690608,B,BAIX
KJ690608,B,BAVII
KJ690608,B,BAIII
KJ690608,B,BAIII
KJ690609,B,BAIX
KJ690609,B,BAIX
KJ690609,B,BAIX
KJ690609,B,BAVII
KJ690609,B,BAIV
KJ690609,B,BAIX
KJ690601,B,BAIX
KJ690601,B,BAIX
KJ690601,B,BAIX
KJ690601,B,BAVII
KJ690601,B,BAIV
KJ690601,B,BAVII
KJ690611,B,BAIX
KJ690611,B,BAIX
KJ690611,B,BAVII
KJ690611,B,BAIX
KJ690611,B,BAIV
KJ690611,B,BAVII
KJ690599,B,BAVII
KJ690599,B,BAIX
KJ690599,B,BAIV
KJ690599,B,BAI
KJ690599,B,BAIX
KJ690599,B,BAIII
KJ690612,B,BAVII
KJ690612,B,BAIX
KJ690612,B,BAIV
KJ690612,B,BAVI
KJ690612,B,BAVI
KJ690612,B,BAIX
KJ690602,B,BAIX
KJ690602,B,BAIX
KJ690602,B,BAIX
KJ690602,B,BAVII
KJ690602,B,BAVI
KJ690602,B,BAIII
KJ690613,B,BAIX
KJ690613,B,BAIX
KJ690613,B,BAIX
KJ690613,B,BAVII
KJ690613,B,BAVI
KJ690613,B,BAIII
KJ690598,B,BAIX
KJ690598,B,BAIX
KJ690598,B,BAIX
KJ690598,B,BAVII
KJ690598,B,BAIX
KJ690598,B,BAIV
KJ690597,B,BAIX
KJ690597,B,BAIX
KJ690597,B,BAIX
KJ690597,B,BAVII
KJ690597,B,BAIV
KJ690597,B,BAIX
