Accession ID,subtype,genotype
OK299804,B,BAIX
OK299804,B,BAIX
OK299804,B,BAVII
OK299804,B,BAIX
OK299804,B,BAIII
OK299804,B,BAVII
OK299791,B,BAIX
OK299791,B,BAIX
OK299791,B,BAVII
OK299791,B,BAIX
OK299791,B,BAIII
OK299791,B,BAVII
OK299805,B,BAIX
OK299805,B,BAIX
OK299805,B,BAVII
OK299805,B,BAIX
OK299805,B,BAIII
OK299805,B,BAVII
OK299860,A,ON1
OK299860,A,ON1
OK299860,A,ON1
OK299860,A,ON1
OK299860,A,ON1
OK299547,B,BAIX
OK299547,B,BAIX
OK299547,B,BAIX
OK299547,B,BAVII
OK299547,B,BAIX
OK299547,B,BAIII
OK299792,B,BAIX
OK299792,B,BAIX
OK299792,B,BAVII
OK299792,B,BAIX
OK299792,B,BAIII
OK299792,B,BAVII
OK299606,B,BAIX
OK299606,B,BAIX
OK299606,B,BAIX
OK299821,B,BAIX
OK299821,B,BAIX
OK299821,B,BAVII
OK299821,B,BAIX
OK299784,B,BAIX
OK299784,B,BAVII
OK299784,B,BAIII
OK299784,B,BAIII
OK299784,B,BAIX
OK299784,B,BAVII
OK299882,A,ON1
OK299882,A,ON1
OK299882,A,ON1
OK299882,A,ON1
OK299882,A,ON1
OK299760,B,BAIX
OK299760,B,BAIX
OK299760,B,BAIX
OK299760,B,BAIX
OK299807,B,BAIX
OK299807,B,BAIX
OK299807,B,BAVII
OK299807,B,BAIX
OK299807,B,BAIII
OK299807,B,BAVII
OK299812,B,BAIX
OK299812,B,BAIX
OK299812,B,BAVII
OK299812,B,BAIII
OK299812,B,BAIII
OK299812,B,BAIX
OK299878,A,ON1
OK299878,A,ON1
OK299878,A,ON1
OK299878,A,ON1
OK299878,A,ON1
OK299910,A,ON1
OK299910,A,ON1
OK299910,A,ON1
OK299910,A,ON1
OK299911,A,ON1
OK299911,A,ON1
OK299911,A,ON1
OK299911,A,ON1
OK299837,A,ON1
OK299837,A,ON1
OK299542,B,BAIX
OK299542,B,BAIX
OK299542,B,BAVII
OK299542,B,BAIX
OK299796,B,BAIX
OK299796,B,BAIX
OK299796,B,BAVII
OK299796,B,BAIX
OK299796,B,BAIII
OK299796,B,BAVII
OK299797,B,BAIX
OK299797,B,BAIX
OK299797,B,BAVII
OK299797,B,BAIX
OK299797,B,BAIII
OK299797,B,BAVII
OK299573,B,BAIX
OK299573,B,BAIX
OK299573,B,BAIX
OK299573,B,BAIX
OK299773,B,BAIX
OK299773,B,BAIX
OK299773,B,BAVII
OK299773,B,BAIX
OK299774,B,BAIX
OK299774,B,BAIX
OK299774,B,BAVII
OK299774,B,BAIX
OK299799,B,BAIX
OK299799,B,BAIX
OK299799,B,BAVII
OK299799,B,BAIX
OK299799,B,BAIII
OK299799,B,BAVII
OK299820,B,BAIX
OK299820,B,BAIX
OK299820,B,BAVII
OK299820,B,BAIX
OK299800,B,BAIX
OK299800,B,BAIX
OK299800,B,BAVII
OK299800,B,BAIX
OK299800,B,BAIII
OK299800,B,BAVII
OK299798,B,BAIX
OK299798,B,BAIX
OK299798,B,BAVII
OK299798,B,BAIX
OK299798,B,BAIII
OK299798,B,BAVII
OK299851,A,ON1
OK299851,A,ON1
OK299851,A,ON1
OK299851,A,ON1
OK299851,A,ON1
OK299801,B,BAIX
OK299801,B,BAIX
OK299801,B,BAVII
OK299801,B,BAIX
OK299801,B,BAIII
OK299801,B,BAVII
OK299819,B,BAIX
OK299819,B,BAIX
OK299819,B,BAVII
OK299819,B,BAIX
OK299802,B,BAIX
OK299802,B,BAIX
OK299802,B,BAVII
OK299802,B,BAIX
OK299802,B,BAIII
