Accession ID,subtype,genotype
AB500659,B,BAVII
AB500659,B,BAVII
AB500659,B,BAIX
AB500659,B,BAVIII
AB500659,B,BAIX
AB500659,B,BAIX
AB500660,B,BAVIII
AB500660,B,BAVIII
AB500660,B,BAVII
AB500660,B,BAVII
AB500660,B,BAIX
AB500655,A,NA1
AB500655,A,NA1
AB500655,A,NA1
AB500664,B,BAVII
AB500664,B,BAVII
AB500664,B,BAIX
AB500664,B,BAVIII
AB500664,B,BAVIII
AB500664,B,BAIX
AB500661,B,BAVII
AB500661,B,BAVII
AB500661,B,BAIX
AB500661,B,BAVIII
AB500661,B,BAVIII
AB500661,B,BAIX
AB500665,B,BAVIII
AB500665,B,BAVIII
AB500665,B,BAVII
AB500665,B,BAVII
AB500665,B,BAIX
AB500665,B,BAI
AB500662,B,BAVIII
AB500662,B,BAVIII
AB500662,B,BAVII
AB500662,B,BAVII
AB500663,B,BAVIII
AB500663,B,BAVIII
AB500663,B,BAVII
AB500663,B,BAVII
AB500663,B,BAIX
AB500649,A,NA2
AB500649,A,NA2
AB500649,A,GA2
AB500649,A,GA2
AB500649,A,NA1
AB500650,A,NA1
AB500650,A,NA1
AB500651,A,NA2
AB500651,A,NA2
AB500652,A,NA2
AB500652,A,NA2
AB500653,A,NA2
AB500653,A,NA2
AB500656,B,BAVII
AB500656,B,BAVII
AB500656,B,BAI
AB500656,B,BAIX
AB500656,B,BAIX
AB500656,B,BAV
AB500657,B,BAVIII
AB500657,B,BAVIII
AB500657,B,BAVII
AB500657,B,BAVII
AB500657,B,BAIX
AB500658,B,BAVIII
AB500658,B,BAVIII
AB500658,B,BAVII
AB500658,B,BAVII
AB500658,B,BAIX
AB500658,B,BAIX
AB500654,A,NA2
AB500654,A,NA2
AB500654,A,GA2
