Accession ID,subtype,genotype
HQ711628,A,GA2
HQ711628,A,GA2
HQ711628,A,NA2
HQ711628,A,NA2
HQ711633,A,GA2
HQ711633,A,GA2
HQ711633,A,NA2
HQ711633,A,NA2
HQ711646,A,NA2
HQ711646,A,NA2
HQ711646,A,GA2
HQ711697,A,NA1
HQ711697,A,NA1
HQ711697,A,NA1
HQ711720,A,GA5
HQ711720,A,GA5
HQ711721,A,GA5
HQ711721,A,GA5
HQ711724,A,GA5
HQ711724,A,GA5
HQ711725,A,GA5
HQ711725,A,GA5
HQ711726,A,GA5
HQ711726,A,GA5
HQ711727,A,GA5
HQ711727,A,GA5
HQ711728,A,GA5
HQ711728,A,GA5
HQ711730,A,GA5
HQ711730,A,GA5
HQ711738,A,GA5
HQ711738,A,GA5
HQ711739,A,GA5
HQ711739,A,GA5
HQ711740,A,GA5
HQ711740,A,GA5
HQ711741,A,GA5
HQ711741,A,GA5
HQ711742,A,GA5
HQ711742,A,GA5
HQ711743,A,GA5
HQ711743,A,GA5
HQ711744,A,GA5
HQ711744,A,GA5
HQ711745,A,GA5
HQ711745,A,GA5
HQ711746,A,GA5
HQ711746,A,GA5
HQ711747,A,GA5
HQ711747,A,GA5
HQ711748,A,GA5
HQ711748,A,GA5
HQ711749,A,GA5
HQ711749,A,GA5
HQ711750,A,GA5
HQ711750,A,GA5
HQ711751,A,GA5
HQ711751,A,GA5
HQ711752,A,GA5
HQ711752,A,GA5
HQ711753,A,GA5
HQ711753,A,GA5
HQ711754,A,GA5
HQ711754,A,GA5
HQ711755,A,GA5
HQ711755,A,GA5
HQ711756,A,GA5
HQ711756,A,GA5
HQ711757,A,GA5
HQ711757,A,GA5
HQ711758,A,GA5
HQ711758,A,GA5
HQ711759,A,GA5
HQ711759,A,GA5
HQ711760,A,GA5
HQ711760,A,GA5
HQ711761,A,GA5
HQ711761,A,GA5
HQ711763,A,GA5
HQ711763,A,GA5
HQ711764,A,GA5
HQ711764,A,GA5
HQ711770,A,GA5
HQ711771,A,GA5
HQ711772,A,GA5
HQ711773,A,GA5
HQ711774,A,GA5
HQ711776,A,GA5
HQ711777,A,GA5
HQ711777,A,GA6
HQ711777,A,GA3
HQ711777,A,GA3
HQ711778,A,GA5
HQ711781,B,BAIX
HQ711781,B,BAIX
HQ711781,B,BAVII
HQ711781,B,BAVII
HQ711781,B,BAIX
HQ711781,B,BAIX
HQ711783,B,BAVII
HQ711783,B,BAIX
HQ711783,B,BAIX
HQ711783,B,BAVII
HQ711783,B,BAIX
HQ711783,B,BAIX
HQ711785,B,BAVII
HQ711785,B,BAIX
HQ711785,B,BAIX
HQ711785,B,BAIX
HQ711785,B,BAVII
HQ711785,B,BAIX
HQ711788,B,BAIX
HQ711788,B,BAVII
HQ711788,B,BAIX
HQ711788,B,BAIX
HQ711788,B,BAVII
HQ711788,B,BAIX
HQ711790,B,BAIX
HQ711790,B,BAIX
HQ711790,B,BAVII
HQ711790,B,BAVII
HQ711790,B,BAIX
HQ711790,B,BAIV
HQ711791,B,BAIX
HQ711791,B,BAVII
HQ711791,B,BAIX
HQ711791,B,BAVII
HQ711791,B,BAIX
HQ711791,B,BAIV
HQ711792,B,BAVII
HQ711792,B,BAIX
HQ711792,B,BAIX
HQ711792,B,BAVII
HQ711792,B,BAIX
HQ711792,B,BAIV
HQ711793,B,BAIX
HQ711793,B,BAIX
HQ711793,B,BAVII
HQ711793,B,BAVII
HQ711793,B,BAIX
HQ711793,B,BAIV
HQ711794,B,BAIX
HQ711794,B,BAIX
HQ711794,B,BAVII
HQ711794,B,BAVII
HQ711794,B,BAIX
HQ711794,B,BAIV
HQ711795,B,BAIX
HQ711795,B,BAIX
HQ711795,B,BAVII
HQ711795,B,BAVII
HQ711795,B,BAIX
HQ711795,B,BAIV
HQ711796,B,BAIX
HQ711796,B,BAVII
HQ711796,B,BAIX
HQ711796,B,BAIX
HQ711796,B,BAIX
HQ711796,B,BAIV
HQ711797,B,BAIX
HQ711797,B,BAVII
HQ711797,B,BAIX
HQ711797,B,BAIX
HQ711797,B,BAIX
HQ711797,B,BAIV
HQ711800,B,BAIX
HQ711800,B,BAIX
HQ711800,B,BAVII
HQ711800,B,BAIX
HQ711800,B,BAIX
HQ711800,B,BAIV
HQ711801,B,BAIX
HQ711801,B,BAVII
HQ711801,B,BAIX
HQ711801,B,BAIX
HQ711801,B,BAIX
HQ711801,B,BAIV
HQ711802,B,BAIX
HQ711802,B,BAIX
HQ711802,B,BAVII
HQ711802,B,BAVII
HQ711802,B,BAIX
HQ711802,B,BAIV
HQ711803,B,BAVII
HQ711803,B,BAIX
HQ711803,B,BAIX
HQ711803,B,BAVII
HQ711803,B,BAIX
HQ711803,B,BAIX
HQ711804,B,BAIX
HQ711804,B,BAIX
HQ711804,B,BAVII
HQ711804,B,BAIX
HQ711804,B,BAVII
HQ711804,B,BAIX
HQ711805,B,BAIX
HQ711805,B,BAVII
HQ711805,B,BAIX
HQ711805,B,BAIX
HQ711805,B,BAVII
HQ711805,B,BAIX
HQ711808,B,BAIX
HQ711808,B,BAIX
HQ711808,B,BAIX
HQ711808,B,BAIX
HQ711808,B,BAVII
HQ711808,B,BAVII
HQ711814,B,BAVII
HQ711814,B,BAVII
HQ711814,B,BAX
HQ711814,B,BAV
HQ711814,B,BAIII
HQ711814,B,BAIII
HQ711815,B,BAVII
HQ711815,B,BAVII
HQ711815,B,BAX
HQ711815,B,BAV
HQ711815,B,BAIII
HQ711815,B,BAIII
HQ711820,B,BAVII
HQ711820,B,BAVII
HQ711820,B,BAIX
HQ711820,B,BAX
HQ711820,B,BAVIII
HQ711820,B,BAVIII
HQ711834,B,BAVII
HQ711834,B,BAVII
HQ711834,B,BAVI
HQ711834,B,BAV
HQ711834,B,BAVI
HQ711834,B,BAVIII
HQ711835,B,BAVII
HQ711835,B,BAVII
HQ711835,B,BAV
HQ711835,B,BAV
HQ711835,B,BAVIII
HQ711835,B,BAX
