Accession ID,genotype
AB722450,A
AB722451,A
AB722452,A
AB722453,A
AB722454,A
AB722455,A
AB722456,A
AB722457,A
AB722458,A
AB722459,A
AB722460,A
AB722461,A
AB722462,A
AB722463,A
AB722464,A
AB722465,A
AB722466,A
AB722467,A
AB722468,A
AB722469,A
AB722470,A
AB722471,A
AB722472,A
AB722473,A
AB722474,A
AB722475,A
AB722476,A
AB722477,A
AB722478,A
AB722479,A
AB722480,A
AB722481,A
AB722482,A
AB722483,A
AB722484,A
AB722485,A
AB722486,A
AB722487,A
AB722488,A
AB722489,A
AB722490,A
AB722491,A
AB722492,A
AB722493,A
AB722494,A
AB722495,A
AB722496,A
AB722497,A
AB722498,A
AB722499,A
AB722500,A
AB722501,A
AB722502,A
AB722503,A
AB722504,A
AB722505,A
AB722506,A
AB722507,A
AB722508,A
AB722509,A
AB722510,A
AB722511,A
AB722512,A
AB722513,A
AB722514,A
AB722515,A
AB722516,A
AB722517,A
AB722518,A
AB722519,A
AB722520,A
AB722521,A
AB722522,A
AB722523,A
AB722524,A
AB722525,A
AB722526,A
AB722527,A
AB722528,A
AB722529,A
AB722530,A
AB722531,A
AB722532,A
AB722533,A
AB722534,A
AB722535,A
AB722536,A
AB722537,A
AB722538,A
AB722539,A
AB722540,A
AB722541,A
AB722542,A
AB722543,A
AB722544,A
AB722545,A
AB722546,A
AB722547,A
AB722548,A
AB722549,A
AB722550,A
AB722551,A
AB722552,A
AB722553,A
AB722554,A
AB722555,A
AB722556,A
AB722557,A
AB722558,A
AB722559,A
AB722560,A
AB722561,A
AB722562,A
AB722563,A
AB722564,A
AB722565,A
AB722566,A
AB722567,A
AB722568,A
AB722569,A
AB722570,A
AB722571,A
AB722572,A
AB722573,A
AB722574,A
AB722575,A
AB722576,A
AB722577,A
AB722578,A
AB722579,A
AB722580,A
AB722581,A
AB722582,A
AB722583,A
AB722584,A
AB722585,A
AB722586,A
AB722587,A
AB722588,A
AB722589,A
AB722590,A
AB722591,A
AB722592,A
AB722593,A
AB722594,A
AB722595,A
AB722596,A
AB722597,A
AB722598,A
AB722599,A
AB722600,A
AB722601,A
AB722602,A
AB722603,A
AB722604,A
AB722605,A
AB722606,A
AB722607,A
AB722608,A
AB722609,A
AB722610,A
AB722611,A
AB722612,A
AB722613,A
AB722614,A
AB722615,A
AB722616,A
AB722617,A
AB722618,A
AB722619,A
AB722620,A
AB722621,A
AB722622,A
AB722623,A
AB722624,A
AB722625,A
AB722626,A
AB722627,A
AB722628,A
AB722629,A
AB722630,A
AB722631,A
AB722632,A
AB722633,A
AB722634,A
AB722635,A
AB722636,A
AB722637,A
AB722638,A
AB722639,A
AB722640,A
AB722641,A
AB722642,A
AB722643,A
AB722644,A
AB722645,A
AB722646,A
AB722647,A
AB722648,A
AB722649,A
AB722650,A
AB722651,A
AB722652,A
AB722653,A
AB722654,A
AB722655,A
AB722656,A
AB722657,A
AB722658,A
AB722659,A
