Accession ID,subtype,genotype
MW019650,B,BAIX
MW019650,B,BAIX
MW019650,B,BAIX
MW019650,B,BAVII
MW019650,B,BAIII
MW019650,B,BAIX
MW019651,B,BAIX
MW019651,B,BAIX
MW019651,B,BAVII
MW019651,B,BAIX
MW019651,B,BAIII
MW019651,B,BAVII
MW019652,B,BAIX
MW019652,B,BAIX
MW019652,B,BAIX
MW019652,B,BAVI
MW019652,B,BAVII
MW019652,B,BAVI
MW019653,B,BAIX
MW019653,B,BAIX
MW019654,B,BAIX
MW019654,B,BAIX
MW019654,B,BAIX
MW019655,B,BAIX
MW019655,B,BAIX
MW019655,B,BAIX
MW019656,B,BAIX
MW019656,B,BAIX
MW019656,B,BAIX
MW019657,B,BAIX
MW019657,B,BAIX
MW019657,B,BAIX
MW019658,B,BAIX
MW019658,B,BAIX
MW019658,B,BAIX
MW019658,B,BAVII
MW019658,B,BAIX
MW019659,B,BAIX
MW019659,B,BAVI
MW019659,B,BAVI
MW019659,B,BAIII
MW019659,B,BAIII
MW019659,B,BAVII
MW019660,B,BAIX
MW019660,B,BAIX
MW019660,B,BAI
MW019660,B,BAIII
MW019660,B,BAIII
MW019660,B,BAX
MW019661,B,BAIX
MW019661,B,BAIX
MW019661,B,BAVII
MW019661,B,BAIX
MW019661,B,BAVII
MW019662,B,BAIX
MW019662,B,BAIX
MW019662,B,BAVII
MW019662,B,BAIII
MW019662,B,BAIII
MW019662,B,BAX
MW019663,B,BAIX
MW019663,B,BAIX
MW019663,B,BAIX
MW019664,B,BAIX
MW019664,B,BAIX
MW019664,B,BAIX
MW019664,B,BAVII
MW019664,B,BAIII
MW019664,B,BAIX
MW019665,B,BAIX
MW019665,B,BAIX
MW019665,B,BAVII
MW019665,B,BAIX
MW019666,B,BAIX
MW019666,B,BAIX
MW019666,B,BAVII
MW019666,B,BAIX
MW019666,B,BAVII
MW019667,B,BAIX
MW019667,B,BAIX
MW019667,B,BAIX
MW019667,B,BAVII
MW019667,B,BAIX
MW020598,A,ON1
MW020598,A,ON1
MW020598,A,ON1
MW020599,A,ON1
MW020599,A,ON1
MW020599,A,ON1
MW020595,B,BAIX
MW020595,B,BAIX
MW020595,B,BAIX
MW020595,B,BAIX
MW020596,A,ON1
MW020596,A,ON1
MW020596,A,ON1
MW020596,A,ON1
MW020597,A,ON1
MW020597,A,ON1
MW020597,A,ON1
