Accession ID,genotype
JX682801,B
JX682802,B
JX682803,B
JX682804,B
JX682806,B
JX682807,B
JX682805,B
JX682808,B
JX682809,B
JX682741,A
JX682742,A
JX682743,A
JX682744,A
JX682745,A
JX682746,A
JX682747,A
JX682748,A
JX682749,A
JX682750,A
JX682751,A
JX682752,A
JX682753,A
JX682754,A
JX682755,A
JX682756,A
JX682757,A
JX682810,B
JX682758,A
JX682759,A
JX682760,A
JX682761,A
JX682762,A
JX682763,A
JX682764,A
JX682765,A
JX682811,B
JX682766,A
JX682767,A
JX682768,A
JX682812,B
JX682769,A
JX682770,A
JX682771,A
JX682772,A
JX682773,A
JX682774,A
JX682775,A
JX682776,A
JX682777,A
JX682778,A
JX682779,A
JX682780,A
JX682781,A
JX682782,A
JX682783,A
JX682784,A
JX682719,A
JX682720,A
JX682721,A
JX682722,A
JX682785,A
JX682786,A
JX682787,A
JX682788,A
JX682789,A
JX682723,A
JX682724,A
JX682725,A
JX682790,A
JX682791,A
JX682792,A
JX682793,A
JX682726,A
JX682727,A
JX682728,A
JX682729,A
JX682730,A
JX682731,A
JX682794,A
JX682795,A
JX682796,A
JX682797,A
JX682798,A
JX682799,A
JX682800,A
JX682813,B
JX682814,B
JX682815,B
JX682816,B
JX682817,B
JX682818,B
JX682732,A
JX682733,A
JX682734,A
JX682735,A
JX682736,A
JX682737,A
JX682738,A
JX682819,B
JX682820,B
JX682821,B
JX682739,A
JX682740,A
JX682822,B
JX682823,B
JX682715,A
JX682716,A
JX682717,A
JX682718,A
